time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,lctrl_pos_x,lctrl_pos_y,lctrl_pos_z,lctrl_rot_x,lctrl_rot_y,lctrl_rot_z,rctrl_pos_x,rctrl_pos_y,rctrl_pos_z,rctrl_rot_x,rctrl_rot_y,rctrl_rot_z
0.8534,0.033388,1.560467,0.296694,31.149940,285.143700,348.121800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308816,1.733288,-2.326708,326.666200,55.548950,190.599800
0.8638,0.033384,1.560574,0.296487,31.377340,285.607200,348.535300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308831,1.733238,-2.326809,326.662600,55.551460,190.596200
0.8752,0.033449,1.560768,0.296243,31.605530,286.110400,348.974700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308859,1.733184,-2.326999,326.661000,55.551180,190.592000
0.8866,0.033686,1.561038,0.296020,31.743580,286.650700,349.414000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308872,1.733151,-2.327100,326.658600,55.551450,190.588200
0.8975,0.033899,1.561397,0.295812,31.835920,287.142800,349.772600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307360,1.735299,-2.324505,326.675800,55.659280,190.649600
0.9087,0.034126,1.561840,0.295622,31.836490,287.638200,350.096200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.306358,1.736631,-2.322712,326.689500,55.749670,190.686300
0.9205,0.034368,1.562356,0.295470,31.811020,288.069300,350.347400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.306614,1.736108,-2.323023,326.692900,55.764680,190.670600
0.9314,0.034571,1.562955,0.295322,31.735040,288.526600,350.608200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307005,1.735381,-2.323586,326.696100,55.784150,190.647700
0.9418,0.034859,1.563624,0.295241,31.627850,288.871100,350.763600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307213,1.734987,-2.323904,326.697900,55.796370,190.632800
0.9539,0.035181,1.564256,0.295146,31.473980,289.215800,350.904900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307435,1.734608,-2.324251,326.698500,55.806950,190.618900
