time,frame_id,marker_id,pos_x,pos_y,pos_z
62.3543,0,8248,-0.006921,0.013043,0.640045
62.3543,0,8251,0.009914,0.002695,-0.002677
62.3648,0,8202,1.390013,0.031710,0.058271
62.3648,0,8248,-0.006910,0.013039,0.640044
62.3648,0,8251,0.009923,0.002674,-0.002688
62.3760,0,8202,1.390022,0.031705,0.058258
62.3760,0,8248,-0.006896,0.013036,0.640058
62.3760,0,8251,0.009927,0.002680,-0.002674
62.3875,0,8202,1.390053,0.031759,0.058287
62.3875,0,8248,-0.006880,0.013031,0.640052
62.3875,0,8251,0.009952,0.002679,-0.002677
62.3983,0,8202,1.390054,0.031695,0.058255
62.3983,0,8248,-0.006860,0.013035,0.640051
62.3983,0,8251,0.009966,0.002661,-0.002691
62.4094,0,8202,1.390065,0.031710,0.058253
62.4094,0,8248,-0.006849,0.013023,0.640053
62.4094,0,8251,0.009963,0.002686,-0.002680
62.4211,0,8202,1.390037,0.031698,0.058248
62.4211,0,8248,-0.006874,0.013030,0.640046
62.4211,0,8251,0.009945,0.002688,-0.002681
62.4318,0,8202,1.390027,0.031736,0.058263
62.4318,0,8248,-0.006894,0.013033,0.640053
62.4318,0,8251,0.009928,0.002691,-0.002685
62.4425,0,8202,1.390003,0.031724,0.058252
62.4425,0,8248,-0.006923,0.013038,0.640045
62.4425,0,8251,0.009904,0.002691,-0.002691
62.4542,0,8202,1.389977,0.031710,0.058233
62.4542,0,8248,-0.006938,0.013042,0.640037
62.4542,0,8251,0.009879,0.002693,-0.002696
62.4647,0,8202,1.389957,0.031705,0.058229
62.4647,0,8248,-0.006956,0.013040,0.640037
62.4647,0,8251,0.009868,0.002675,-0.002701
62.4761,0,8202,1.389943,0.031697,0.058221
62.4761,0,8248,-0.006965,0.013041,0.640040
62.4761,0,8251,0.009847,0.002705,-0.002694
62.4876,0,8202,1.389940,0.031722,0.058229
62.4876,0,8248,-0.006976,0.013039,0.640034
62.4876,0,8251,0.009847,0.002685,-0.002700
62.4982,0,8202,1.389942,0.031724,0.058237
62.4982,0,8248,-0.006977,0.013044,0.640023
62.4982,0,8251,0.009840,0.002682,-0.002707
62.5094,0,8202,1.389930,0.031705,0.058223
62.5094,0,8248,-0.006978,0.013060,0.640021
62.5094,0,8251,0.009836,0.002701,-0.002699
62.5211,0,8202,1.389915,0.031695,0.058214
62.5211,0,8248,-0.006993,0.013038,0.640031
62.5211,0,8251,0.009824,0.002696,-0.002699
62.5317,0,8202,1.389915,0.031676,0.058200
62.5317,0,8248,-0.007007,0.013057,0.640016
62.5317,0,8251,0.009822,0.002677,-0.002722
62.5425,0,8202,1.389913,0.031733,0.058223
