time,frame_id,marker_id,pos_x,pos_y,pos_z
52.6093,0,6650,0.028111,0.016703,-0.009489
52.6093,0,6683,1.396154,-0.005157,0.123093
52.6093,0,6707,0.046359,-0.007986,0.561112
52.6093,0,6767,1.298782,-0.030882,0.743694
52.6203,0,6650,0.028113,0.016707,-0.009481
52.6203,0,6683,1.396151,-0.005160,0.123089
52.6203,0,6707,0.046396,-0.007934,0.561145
52.6203,0,6767,1.298776,-0.030903,0.743688
52.6315,0,6650,0.028113,0.016715,-0.009483
52.6315,0,6683,1.396162,-0.005120,0.123109
52.6315,0,6707,0.046377,-0.007965,0.561133
52.6315,0,6767,1.298779,-0.030896,0.743697
52.6426,0,6650,0.028107,0.016706,-0.009482
52.6426,0,6683,1.396148,-0.005153,0.123096
52.6426,0,6707,0.046368,-0.007995,0.561119
52.6426,0,6767,1.298777,-0.030901,0.743698
52.6541,0,6650,0.028108,0.016714,-0.009482
52.6541,0,6683,1.396160,-0.005144,0.123102
52.6541,0,6707,0.046229,-0.008076,0.561081
52.6541,0,6767,1.298778,-0.030879,0.743697
52.6648,0,6650,0.028103,0.016718,-0.009484
52.6648,0,6683,1.396165,-0.005140,0.123101
52.6648,0,6707,0.046262,-0.008043,0.561098
52.6648,0,6767,1.298782,-0.030878,0.743689
52.6760,0,6650,0.028110,0.016701,-0.009484
52.6760,0,6683,1.396157,-0.005117,0.123111
52.6760,0,6707,0.046218,-0.008094,0.561077
52.6760,0,6767,1.298777,-0.030891,0.743696
52.6869,0,6650,0.028103,0.016715,-0.009485
52.6869,0,6683,1.396157,-0.005115,0.123111
52.6869,0,6707,0.046262,-0.008044,0.561079
52.6869,0,6767,1.298777,-0.030883,0.743676
52.6982,0,6650,0.028110,0.016696,-0.009491
52.6982,0,6683,1.396169,-0.005098,0.123124
52.6982,0,6707,0.046494,-0.007888,0.561170
52.6982,0,6767,1.298773,-0.030885,0.743705
52.7092,0,6650,0.028109,0.016714,-0.009481
52.7092,0,6683,1.396159,-0.005154,0.123092
52.7092,0,6707,0.046315,-0.008013,0.561100
52.7092,0,6767,1.298778,-0.030884,0.743689
52.7204,0,6650,0.028110,0.016706,-0.009485
52.7204,0,6683,1.396159,-0.005126,0.123112
52.7204,0,6707,0.046460,-0.007900,0.561166
52.7204,0,6767,1.298771,-0.030910,0.743683
52.7315,0,6650,0.028116,0.016716,-0.009479
52.7315,0,6683,1.396162,-0.005119,0.123114
52.7315,0,6707,0.046435,-0.007925,0.561149
52.7315,0,6767,1.298782,-0.030882,0.743703
52.7426,0,6650,0.028108,0.016706,-0.009484
52.7426,0,6683,1.396150,-0.005151,0.123095
52.7426,0,6707,0.045613,-0.008683,0.560659
52.7426,0,6767,1.298776,-0.030897,0.743711
52.7537,0,6650,0.028114,0.016711,-0.009485
52.7537,0,6683,1.396166,-0.005119,0.123113
52.7537,0,6707,0.046477,-0.007899,0.561152
52.7537,0,6767,1.298770,-0.030912,0.743706
52.7649,0,6650,0.028110,0.016716,-0.009485
52.7649,0,6683,1.396168,-0.005113,0.123119
52.7649,0,6707,0.046426,-0.007906,0.561148
52.7649,0,6767,1.298778,-0.030883,0.743687
52.7762,0,6650,0.028107,0.016704,-0.009488
52.7762,0,6683,1.396149,-0.005176,0.123078
52.7762,0,6707,0.046201,-0.008110,0.561068
52.7762,0,6767,1.298781,-0.030874,0.743701
52.7869,0,6650,0.028105,0.016714,-0.009478
52.7869,0,6683,1.396163,-0.005110,0.123114
52.7869,0,6707,0.046318,-0.008007,0.561107
52.7869,0,6767,1.298779,-0.030899,0.743694
52.7982,0,6650,0.028113,0.016702,-0.009491
52.7982,0,6683,1.396158,-0.005143,0.123096
52.7982,0,6707,0.045406,-0.008827,0.560584
52.7982,0,6767,1.298776,-0.030888,0.743673
52.8093,0,6650,0.028111,0.016699,-0.009483
52.8093,0,6683,1.396151,-0.005156,0.123092
52.8093,0,6707,0.046468,-0.007897,0.561165
52.8093,0,6767,1.298779,-0.030893,0.743696
52.8205,0,6650,0.028106,0.016718,-0.009475
52.8205,0,6683,1.396152,-0.005136,0.123102
52.8205,0,6707,0.046386,-0.007978,0.561127
52.8205,0,6767,1.298777,-0.030899,0.743704
52.8317,0,6650,0.028110,0.016709,-0.009483
52.8317,0,6683,1.396148,-0.005163,0.123077
52.8317,0,6707,0.046365,-0.007984,0.561112
52.8317,0,6767,1.298777,-0.030884,0.743700
52.8429,0,6650,0.028104,0.016713,-0.009478
52.8429,0,6683,1.396163,-0.005119,0.123119
52.8429,0,6707,0.046304,-0.008025,0.561095
52.8429,0,6767,1.298775,-0.030903,0.743689
52.8539,0,6650,0.028109,0.016703,-0.009482
52.8539,0,6683,1.396155,-0.005153,0.123094
52.8539,0,6707,0.046483,-0.007894,0.561163
52.8539,0,6767,1.298773,-0.030886,0.743692
52.8649,0,6650,0.028113,0.016713,-0.009485
52.8649,0,6683,1.396158,-0.005140,0.123100
52.8649,0,6707,0.046397,-0.007943,0.561135
52.8649,0,6767,1.298772,-0.030895,0.743695
52.8761,0,6650,0.028110,0.016702,-0.009484
52.8761,0,6683,1.396168,-0.005117,0.123115
52.8761,0,6707,0.046343,-0.007998,0.561122
52.8761,0,6767,1.298782,-0.030888,0.743689
52.8870,0,6650,0.028105,0.016694,-0.009490
52.8870,0,6683,1.396153,-0.005108,0.123104
52.8870,0,6707,0.046480,-0.007891,0.561173
52.8870,0,6767,1.298778,-0.030879,0.743704
52.8982,0,6650,0.028109,0.016721,-0.009484
52.8982,0,6683,1.396167,-0.005105,0.123119
52.8982,0,6707,0.046236,-0.008083,0.561061
52.8982,0,6767,1.298771,-0.030915,0.743685
52.9094,0,6650,0.028104,0.016713,-0.009479
52.9094,0,6683,1.396158,-0.005124,0.123104
52.9094,0,6707,0.046288,-0.008033,0.561096
52.9094,0,6767,1.298786,-0.030867,0.743688
52.9207,0,6650,0.028108,0.016716,-0.009477
52.9207,0,6683,1.396166,-0.005122,0.123105
52.9207,0,6707,0.046405,-0.007959,0.561137
52.9207,0,6767,1.298774,-0.030889,0.743695
52.9317,0,6650,0.028111,0.016702,-0.009487
52.9317,0,6683,1.396159,-0.005143,0.123102
52.9317,0,6707,0.046277,-0.008049,0.561090
52.9317,0,6767,1.298775,-0.030897,0.743701
52.9427,0,6650,0.028109,0.016720,-0.009475
52.9427,0,6683,1.396154,-0.005148,0.123098
52.9427,0,6707,0.046457,-0.007908,0.561162
52.9427,0,6767,1.298774,-0.030893,0.743688
52.9539,0,6650,0.028108,0.016714,-0.009480
52.9539,0,6683,1.396163,-0.005127,0.123106
52.9539,0,6707,0.046312,-0.008016,0.561090
52.9539,0,6767,1.298781,-0.030880,0.743701
52.9649,0,6650,0.028105,0.016717,-0.009483
52.9649,0,6683,1.396168,-0.005103,0.123128
52.9649,0,6707,0.046309,-0.008022,0.561108
52.9649,0,6767,1.298784,-0.030874,0.743697
52.9761,0,6650,0.028110,0.016714,-0.009476
52.9761,0,6683,1.396154,-0.005135,0.123099
52.9761,0,6707,0.046189,-0.008125,0.561041
52.9761,0,6767,1.298775,-0.030892,0.743701
52.9869,0,6650,0.028108,0.016717,-0.009478
52.9869,0,6683,1.396165,-0.005119,0.123120
52.9869,0,6707,0.045618,-0.008657,0.560665
52.9869,0,6767,1.298776,-0.030892,0.743701
52.9986,0,6650,0.028105,0.016702,-0.009485
52.9986,0,6683,1.396153,-0.005147,0.123093
52.9986,0,6707,0.046349,-0.007976,0.561130
52.9986,0,6767,1.298777,-0.030892,0.743687
53.0094,0,6650,0.028106,0.016712,-0.009475
53.0094,0,6683,1.396148,-0.005145,0.123099
53.0094,0,6707,0.045435,-0.008799,0.560592
53.0094,0,6767,1.298765,-0.030905,0.743693
53.0204,0,6650,0.028109,0.016718,-0.009484
53.0204,0,6683,1.396151,-0.005127,0.123097
53.0204,0,6707,0.046367,-0.007996,0.561113
53.0204,0,6767,1.298772,-0.030892,0.743698
53.0316,0,6650,0.028102,0.016716,-0.009482
53.0316,0,6683,1.396160,-0.005120,0.123108
53.0316,0,6707,0.046323,-0.007999,0.561110
53.0316,0,6767,1.298766,-0.030887,0.743694
53.0430,0,6650,0.028104,0.016709,-0.009481
53.0430,0,6683,1.396155,-0.005148,0.123106
53.0430,0,6707,0.046518,-0.007859,0.561184
