time,frame_id,marker_id,pos_x,pos_y,pos_z
7,5602,8926,7251,0.000000,1.400000,0.600000
7,5602,8926,7252,0.204375,1.196000,0.600000
7,5602,8926,7253,0.408750,0.992000,0.600000
7,5689,8927,7251,0.000000,1.400000,0.600000
7,5689,8927,7252,0.204375,1.196000,0.600000
7,5689,8927,7253,0.408750,0.992000,0.600000
7,5816,8928,7251,0.000000,1.400000,0.600000
7,5816,8928,7252,0.204375,1.196000,0.600000
7,5816,8928,7253,0.408750,0.992000,0.600000
7,5907,8929,7251,0.000000,1.400000,0.600000
7,5907,8929,7252,0.204375,1.196000,0.600000
7,5907,8929,7253,0.408750,0.992000,0.600000
7,5992,8930,7251,0.000000,1.400000,0.600000
7,5992,8930,7252,0.204375,1.196000,0.600000
7,5992,8930,7253,0.408750,0.992000,0.600000
7,6120,8931,7251,0.000000,1.400000,0.600000
7,6120,8931,7252,0.204375,1.196000,0.600000
7,6120,8931,7253,0.408750,0.992000,0.600000
7,6214,8932,7251,0.000000,1.400000,0.600000
7,6214,8932,7252,0.204375,1.196000,0.600000
7,6214,8932,7253,0.408750,0.992000,0.600000
7,6340,8933,7251,0.000000,1.400000,0.600000
7,6340,8933,7252,0.204375,1.196000,0.600000
7,6340,8933,7253,0.408750,0.992000,0.600000
7,6432,8934,7251,0.000000,1.400000,0.600000
7,6432,8934,7252,0.204375,1.196000,0.600000
7,6432,8934,7253,0.408750,0.992000,0.600000
7,6526,8935,7251,0.000000,1.400000,0.600000
7,6526,8935,7252,0.204375,1.196000,0.600000
7,6526,8935,7253,0.408750,0.992000,0.600000
7,6610,8936,7251,0.000000,1.400000,0.600000
7,6610,8936,7252,0.204375,1.196000,0.600000
7,6610,8936,7253,0.408750,0.992000,0.600000
7,6732,8937,7251,0.000000,1.400000,0.600000
7,6732,8937,7252,0.204375,1.196000,0.600000
7,6732,8937,7253,0.408750,0.992000,0.600000
7,6822,8938,7251,0.000000,1.400000,0.600000
7,6822,8938,7252,0.204375,1.196000,0.600000
7,6822,8938,7253,0.408750,0.992000,0.600000
7,6946,8939,7251,0.000000,1.400000,0.600000
7,6946,8939,7252,0.204375,1.196000,0.600000
7,6946,8939,7253,0.408750,0.992000,0.600000
7,7070,8940,7251,0.000000,1.400000,0.600000
7,7070,8940,7252,0.204375,1.196000,0.600000
7,7070,8940,7253,0.408750,0.992000,0.600000
7,7156,8941,7251,0.000000,1.400000,0.600000
7,7156,8941,7252,0.204375,1.196000,0.600000
7,7156,8941,7253,0.408750,0.992000,0.600000
7,7237,8942,7251,0.000000,1.400000,0.600000
7,7237,8942,7252,0.204375,1.196000,0.600000
7,7237,8942,7253,0.408750,0.992000,0.600000
7,7367,8943,7251,0.000000,1.400000,0.600000
7,7367,8943,7252,0.204375,1.196000,0.600000
7,7367,8943,7253,0.408750,0.992000,0.600000
7,7460,8944,7251,0.000000,1.400000,0.600000
7,7460,8944,7252,0.204375,1.196000,0.600000
7,7460,8944,7253,0.408750,0.992000,0.600000
7,7545,8945,7251,0.000000,1.400000,0.600000
7,7545,8945,7252,0.204375,1.196000,0.600000
7,7545,8945,7253,0.408750,0.992000,0.600000
7,7671,8946,7251,0.000000,1.400000,0.600000
7,7671,8946,7252,0.204375,1.196000,0.600000
7,7671,8946,7253,0.408750,0.992000,0.600000
7,7760,8947,7251,0.000000,1.400000,0.600000
7,7760,8947,7252,0.204375,1.196000,0.600000
7,7760,8947,7253,0.408750,0.992000,0.600000
7,7850,8948,7251,0.000000,1.400000,0.600000
7,7850,8948,7252,0.204375,1.196000,0.600000
7,7850,8948,7253,0.408750,0.992000,0.600000
7,7979,8949,7251,0.000000,1.400000,0.600000
7,7979,8949,7252,0.204375,1.196000,0.600000
7,7979,8949,7253,0.408750,0.992000,0.600000
7,8065,8950,7251,0.000000,1.400000,0.600000
7,8065,8950,7252,0.204375,1.196000,0.600000
7,8065,8950,7253,0.408750,0.992000,0.600000
7,8188,8951,7251,0.000000,1.400000,0.600000
7,8188,8951,7252,0.204375,1.196000,0.600000
7,8188,8951,7253,0.408750,0.992000,0.600000
7,8270,8952,7251,0.000000,1.400000,0.600000
7,8270,8952,7252,0.204375,1.196000,0.600000
7,8270,8952,7253,0.408750,0.992000,0.600000
7,8397,8953,7251,0.000000,1.400000,0.600000
7,8397,8953,7252,0.204375,1.196000,0.600000
7,8397,8953,7253,0.408750,0.992000,0.600000
7,8481,8954,7251,0.000000,1.400000,0.600000
7,8481,8954,7252,0.204375,1.196000,0.600000
7,8481,8954,7253,0.408750,0.992000,0.600000
7,8618,8955,7251,0.000000,1.400000,0.600000
7,8618,8955,7252,0.204375,1.196000,0.600000
7,8618,8955,7253,0.408750,0.992000,0.600000
7,8703,8956,7251,0.000000,1.400000,0.600000
7,8703,8956,7252,0.204375,1.196000,0.600000
7,8703,8956,7253,0.408750,0.992000,0.600000
7,8791,8957,7251,0.000000,1.400000,0.600000
7,8791,8957,7252,0.204375,1.196000,0.600000
7,8791,8957,7253,0.408750,0.992000,0.600000
7,8921,8958,7251,0.000000,1.400000,0.600000
7,8921,8958,7252,0.204375,1.196000,0.600000
7,8921,8958,7253,0.408750,0.992000,0.600000
7,9014,8959,7251,0.000000,1.400000,0.600000
7,9014,8959,7252,0.204375,1.196000,0.600000
7,9014,8959,7253,0.408750,0.992000,0.600000
7,9104,8960,7251,0.000000,1.400000,0.600000
7,9104,8960,7252,0.204375,1.196000,0.600000
7,9104,8960,7253,0.408750,0.992000,0.600000
7,9223,8961,7251,0.000000,1.400000,0.600000
7,9223,8961,7252,0.204375,1.196000,0.600000
7,9223,8961,7253,0.408750,0.992000,0.600000
7,9317,8962,7251,0.000000,1.400000,0.600000
7,9317,8962,7252,0.204375,1.196000,0.600000
7,9317,8962,7253,0.408750,0.992000,0.600000
7,9399,8963,7251,0.000000,1.400000,0.600000
7,9399,8963,7252,0.204375,1.196000,0.600000
7,9399,8963,7253,0.408750,0.992000,0.600000
7,9525,8964,7251,0.000000,1.400000,0.600000
7,9525,8964,7252,0.204375,1.196000,0.600000
7,9525,8964,7253,0.408750,0.992000,0.600000
7,9614,8965,7251,0.000000,1.400000,0.600000
7,9614,8965,7252,0.204375,1.196000,0.600000
7,9614,8965,7253,0.408750,0.992000,0.600000
7,9739,8966,7251,0.000000,1.400000,0.600000
7,9739,8966,7252,0.204375,1.196000,0.600000
7,9739,8966,7253,0.408750,0.992000,0.600000
7,9827,8967,7251,0.000000,1.400000,0.600000
7,9827,8967,7252,0.204375,1.196000,0.600000
7,9827,8967,7253,0.408750,0.992000,0.600000
7,9910,8968,7251,0.000000,1.400000,0.600000
7,9910,8968,7252,0.204375,1.196000,0.600000
7,9910,8968,7253,0.408750,0.992000,0.600000
8,0063,8969,7251,0.000000,1.400000,0.600000
8,0063,8969,7252,0.204375,1.196000,0.600000
8,0063,8969,7253,0.408750,0.992000,0.600000
8,0127,8970,7251,0.000000,1.400000,0.600000
8,0127,8970,7252,0.204375,1.196000,0.600000
8,0127,8970,7253,0.408750,0.992000,0.600000
8,0224,8971,7251,0.000000,1.400000,0.600000
8,0224,8971,7252,0.204375,1.196000,0.600000
8,0224,8971,7253,0.408750,0.992000,0.600000
8,0371,8972,7251,0.000000,1.400000,0.600000
8,0371,8972,7252,0.204375,1.196000,0.600000
8,0371,8972,7253,0.408750,0.992000,0.600000
8,0446,8973,7251,0.000000,1.400000,0.600000
8,0446,8973,7252,0.204375,1.196000,0.600000
8,0446,8973,7253,0.408750,0.992000,0.600000
8,0550,8974,7251,0.000000,1.400000,0.600000
8,0550,8974,7252,0.204375,1.196000,0.600000
8,0550,8974,7253,0.408750,0.992000,0.600000
8,0655,8975,7251,0.000000,1.400000,0.600000
8,0655,8975,7252,0.204375,1.196000,0.600000
8,0655,8975,7253,0.408750,0.992000,0.600000
8,0748,8976,7251,0.000000,1.400000,0.600000
8,0748,8976,7252,0.204375,1.196000,0.600000
8,0748,8976,7253,0.408750,0.992000,0.600000
8,0860,8977,7251,0.000000,1.400000,0.600000
8,0860,8977,7252,0.204375,1.196000,0.600000
8,0860,8977,7253,0.408750,0.992000,0.600000
8,0991,8978,7251,0.000000,1.400000,0.600000
8,0991,8978,7252,0.204375,1.196000,0.600000
8,0991,8978,7253,0.408750,0.992000,0.600000
8,1095,8979,7251,0.000000,1.400000,0.600000
8,1095,8979,7252,0.204375,1.196000,0.600000
8,1095,8979,7253,0.408750,0.992000,0.600000
8,1168,8980,7251,0.000000,1.400000,0.600000
8,1168,8980,7252,0.204375,1.196000,0.600000
8,1168,8980,7253,0.408750,0.992000,0.600000
8,1273,8981,7251,0.000000,1.400000,0.600000
8,1273,8981,7252,0.204375,1.196000,0.600000
8,1273,8981,7253,0.408750,0.992000,0.600000
8,1376,8982,7251,0.000000,1.400000,0.600000
8,1376,8982,7252,0.204375,1.196000,0.600000
8,1376,8982,7253,0.408750,0.992000,0.600000
8,1497,8983,7251,0.000000,1.400000,0.600000
8,1497,8983,7252,0.204375,1.196000,0.600000
8,1497,8983,7253,0.408750,0.992000,0.600000
8,1587,8984,7251,0.000000,1.400000,0.600000
8,1587,8984,7252,0.204375,1.196000,0.600000
8,1587,8984,7253,0.408750,0.992000,0.600000
8,1683,8985,7251,0.000000,1.400000,0.600000
8,1683,8985,7252,0.204375,1.196000,0.600000
8,1683,8985,7253,0.408750,0.992000,0.600000
8,1815,8986,7251,0.000000,1.400000,0.600000
8,1815,8986,7252,0.204375,1.196000,0.600000
8,1815,8986,7253,0.408750,0.992000,0.600000
8,1934,8987,7251,0.000000,1.400000,0.600000
8,1934,8987,7252,0.204375,1.196000,0.600000
8,1934,8987,7253,0.408750,0.992000,0.600000
8,2015,8988,7251,0.000000,1.400000,0.600000
8,2015,8988,7252,0.204375,1.196000,0.600000
8,2015,8988,7253,0.408750,0.992000,0.600000
8,2113,8989,7251,0.000000,1.400000,0.600000
8,2113,8989,7252,0.204375,1.196000,0.600000
8,2113,8989,7253,0.408750,0.992000,0.600000
8,2245,8990,7251,0.000000,1.400000,0.600000
8,2245,8990,7252,0.204375,1.196000,0.600000
8,2245,8990,7253,0.408750,0.992000,0.600000
8,2339,8991,7251,0.000000,1.400000,0.600000
8,2339,8991,7252,0.204375,1.196000,0.600000
8,2339,8991,7253,0.408750,0.992000,0.600000
8,2433,8992,7251,0.000000,1.400000,0.600000
8,2433,8992,7252,0.204375,1.196000,0.600000
8,2433,8992,7253,0.408750,0.992000,0.600000
8,2515,8993,7251,0.000000,1.400000,0.600000
8,2515,8993,7252,0.204375,1.196000,0.600000
8,2515,8993,7253,0.408750,0.992000,0.600000
8,2786,8995,7251,0.000000,1.400000,0.600000
8,2786,8995,7252,0.204375,1.196000,0.600000
